pop2023,growthRate,country,cca3,region,subregion,landAreaKm,ranking.22,ranking.21,ranking.20,Education.Foreignborn,Education.Nativeborn,Migration.1,HDI.HDI,HDI.Mean_years_of_schooling,HDI.GNI,Happiness.Happiness2021,Happiness.Happiness2020,Happiness.ScoreChange
9053799,0.02318,Togo,TGO,Africa,Western Africa-Sub-Saharan Africa,54390,,,,,,,,,,4.107,4.187,-0.080
71801279,0.00145,Thailand,THA,Asia,South-Eastern Asia,510890,6,16,5,,,,0.800,8.7,17030,5.985,5.999,-0.014
67438106,0.02963,Tanzania,TZA,Africa,Eastern Africa-Sub-Saharan Africa,885800,,,98,,,,,,,3.623,3.476,0.147
10143543,0.01917,Tajikistan,TJK,Asia,Central Asia-South Central Asia,138790,59,59,74,,,,,,,5.466,5.556,-0.090
23923276,0.00125,Taiwan,TWN,Asia,Eastern Asia,36197,14,9,23,,,,,,,6.584,6.455,0.129
8796669,0.00643,Switzerland,CHE,Europe,Western Europe,39516,,,,84.3,92.3,136962,0.962,13.9,66933,7.571,7.56,0.011
10612086,0.00595,Sweden,SWE,Europe,Northern Europe,407283.5,60,57,40,81.2,93.3,65789,0.947,12.6,54489,7.363,7.353,0.010
21893579,0.00281,SriLanka,LKA,Asia,Southern Asia-South Central Asia,61860,73,81,61,,,,0.782,10.8,12578,,,
47519628,-0.00082,Spain,ESP,Europe,Southern Europe,499556.6,42,63,31,70.8,83.1,415150,0.905,10.6,38354,6.491,6.401,0.090
51784059,-0.00061,SouthKorea,KOR,Asia,Eastern Asia,97600,2,3,4,,,,,,,,,
60414495,0.00869,SouthAfrica,ZAF,Africa,Southern Africa-Sub-Saharan Africa,1213090,,,,,,,,,,,,
2119675,-0.00008,Slovenia,SVN,Europe,Southern Europe,20136.4,72,64,40,82.3,90.8,24750,0.918,12.8,39746,6.461,6.363,0.098
5795199,0.02689,Slovakia,SVK,Europe,Eastern Europe,49035,46,39,40,,,2834,0.848,12.9,30690,6.331,6.281,0.050
6014723,0.00653,Singapore,SGP,Asia,South-Eastern Asia,718,24,15,16,,,,0.939,11.9,90919,6.377,6.377,0.000
8791092,0.02154,SierraLeone,SLE,Africa,Western Africa-Sub-Saharan Africa,72180,,,,,,,,,,,,
7149077,-0.01001,Serbia,SRB,Europe,Southern Europe,87460,37,31,25,,,,0.802,11.4,19123,6.078,5.778,0.300
17763163,0.0258,Senegal,SEN,Africa,Western Africa-Sub-Saharan Africa,192530,,,,,,,,,,5.132,4.981,0.151
36947025,0.01478,SaudiArabia,SAU,Asia,Western Asia-The Middle East,2149690,22,38,59,,,,0.875,11.3,46112,,,
14094683,0.02308,Rwanda,RWA,Africa,Eastern Africa-Sub-Saharan Africa,24670,87,101,,,,,,,,3.415,3.312,0.103
144444359,-0.00186,Russia,RUS,Europe,Eastern Europe,16376870,,2,2,,,,,,,5.477,5.546,-0.069
19892812,0.01188,Romania,ROU,Europe,Eastern Europe,230080,5,27,15,,,,0.821,11.3,30027,6.14,6.124,0.016
6106869,0.02285,RepublicoftheCongo,COG,Africa,Middle Africa-Sub-Saharan Africa,341500,,,,,,,,,,,,
10247605,-0.00227,Portugal,PRT,Europe,Southern Europe,91605.6,,,,82.4,89.6,118124,0.866,9.6,33155,5.929,5.911,0.018
41026067,0.02933,Poland,POL,Europe,Eastern Europe,306130,12,13,6,81.1,89,163512,0.876,13.2,33034,6.166,6.186,-0.020
117337368,0.01539,Philippines,PHL,Asia,South-Eastern Asia,298170,,,,,,,,,,5.88,6.006,-0.126
34352719,0.0089,Peru,PER,South America,South America-Latin America,1280000,19,30,36,,,,,,,5.84,5.797,0.043
6861524,0.01191,Paraguay,PRY,South America,South America-Latin America,397300,,,,,,,,,,5.653,5.692,-0.039
4468087,0.0135,Panama,PAN,North America,Central America-Latin America,74180,84,72,84,,,,0.805,10.5,26957,6.18,6.305,-0.125
240485658,0.01976,Pakistan,PAK,Asia,Southern Asia-South Central Asia,770880,82,103,82,,,,,,,4.934,5.693,-0.759
5474360,0.00737,Norway,NOR,Europe,Northern Europe,364285,61,51,58,84.2,90.9,30818,0.961,13.0,64660,7.392,7.488,-0.096
2085679,-0.00378,NorthMacedonia,MKD,Europe,Southern Europe,25220,39,45,72,,,,0.770,10.2,15918,,,
223804632,0.02408,Nigeria,NGA,Africa,Western Africa-Sub-Saharan Africa,910770,,100,86,,,,,,,4.759,4.724,0.035
