pop2023,growthRate,country,cca3,region,subregion,landAreaKm
2085679,-0.00378,North Macedonia,MKD,Europe,Southern Europe,25220
34121985,0.0193,Ghana,GHA,Africa,Western Africa-Sub-Saharan Africa,227533
27202843,0.03796,Niger,NER,Africa,Western Africa-Sub-Saharan Africa,1266700
6516100,0.01327,Turkmenistan,TKM,Asia,Central Asia-South Central Asia,469930
2773168,0.02483,Gambia,GMB,Africa,Western Africa-Sub-Saharan Africa,10120
13712828,0.02696,Benin,BEN,Africa,Western Africa-Sub-Saharan Africa,112760
7633779,0.01385,Laos,LAO,Asia,South-Eastern Asia,230800
172954319,0.01033,Bangladesh,BGD,Asia,Southern Asia-South Central Asia,130170
14190612,0.0239,Guinea,GIN,Africa,Western Africa-Sub-Saharan Africa,245720
60414495,0.00869,South Africa,ZAF,Africa,Southern Africa-Sub-Saharan Africa,1213090
85816199,0.00557,Turkey,TUR,Asia,Western Asia-The Middle East,783562
240485658,0.01976,Pakistan,PAK,Asia,Southern Asia-South Central Asia,770880
37840044,0.0102,Morocco,MAR,Africa,Northern Africa,446300
28838499,0.01897,Venezuela,VEN,South America,South America-Latin America,882050
3728282,-0.0043,Georgia,GEO,Asia,Western Asia,69490
45606480,0.01566,Algeria,DZA,Africa,Northern Africa,2381741
36744634,-0.07448,Ukraine,UKR,Europe,Eastern Europe,579400
45504560,0.02266,Iraq,IRQ,Asia,Western Asia-The Middle East,434128
2436566,0.01991,Gabon,GAB,Africa,Middle Africa-Sub-Saharan Africa,257670
23251485,0.02548,Burkina Faso,BFA,Africa,Western Africa-Sub-Saharan Africa,273600
16944826,0.01056,Cambodia,KHM,Asia,South-Eastern Asia,176520
33897354,0.02814,Mozambique,MOZ,Africa,Eastern Africa-Sub-Saharan Africa,786380
223804632,0.02408,Nigeria,NGA,Africa,Western Africa-Sub-Saharan Africa,910770
23293698,0.03099,Mali,MLI,Africa,Western Africa-Sub-Saharan Africa,1220190
89172767,0.00703,Iran,IRN,Asia,Southern Asia-The Middle East,1622500
48582334,0.02821,Uganda,UGA,Africa,Eastern Africa-Sub-Saharan Africa,200520
5418377,0.02182,Liberia,LBR,Africa,Western Africa-Sub-Saharan Africa,96320
55100586,0.01986,Kenya,KEN,Africa,Eastern Africa-Sub-Saharan Africa,569140
12458223,0.00826,Tunisia,TUN,Africa,Northern Africa,155360
5353930,-0.02474,Lebanon,LBN,Asia,Western Asia-The Middle East,10230
2604172,0.01448,Namibia,NAM,Africa,Southern Africa-Sub-Saharan Africa,823290
54577997,0.00736,Myanmar,MMR,Asia,South-Eastern Asia,652670
